Pressure,CO2,CH4
0.1,0.009485679,0.009417983
0.3,0.027522504,0.029264435
0.5,0.045646839,0.047808153
0.7,0.06335344,0.066749792
0.9,0.08079256,0.082886179
1,0.087884116,0.092974516
2,0.157833777,0.173532617
3,0.233803417,0.247948555
4,0.298137622,0.312115996
5,0.35091069,0.374326861
6,0.404643059,0.4366467
7,0.451511726,0.496404003
8,0.490917334,0.536985208
9,0.526693783,0.586352018
10,0.57005217,0.633869574
20,0.804672891,0.926276162
30,0.924268401,1.123140742
40,0.996524675,1.237383324
50,1.049494226,1.333214276
